PERMNO,date,TICKER,COMNAM,RET
18163,19830729,PG,PROCTER & GAMBLE CO,-0.050340
18163,19830831,PG,PROCTER & GAMBLE CO,0.033816
18163,19830930,PG,PROCTER & GAMBLE CO,0.039720
18163,19831031,PG,PROCTER & GAMBLE CO,0.008539
18163,19831130,PG,PROCTER & GAMBLE CO,0.067568
18163,19831230,PG,PROCTER & GAMBLE CO,-0.040084
18163,19840131,PG,PROCTER & GAMBLE CO,-0.101538
18163,19840229,PG,PROCTER & GAMBLE CO,-0.066832
18163,19840330,PG,PROCTER & GAMBLE CO,0.023873
18163,19840430,PG,PROCTER & GAMBLE CO,-0.005699
18163,19840531,PG,PROCTER & GAMBLE CO,0.039578
18163,19840629,PG,PROCTER & GAMBLE CO,0.063452
18163,19840731,PG,PROCTER & GAMBLE CO,0.017184
18163,19840831,PG,PROCTER & GAMBLE CO,0.064133
18163,19840928,PG,PROCTER & GAMBLE CO,-0.002232
18163,19841031,PG,PROCTER & GAMBLE CO,0.049664
18163,19841130,PG,PROCTER & GAMBLE CO,-0.004310
18163,19841231,PG,PROCTER & GAMBLE CO,-0.012987
18163,19850131,PG,PROCTER & GAMBLE CO,-0.001754
18163,19850228,PG,PROCTER & GAMBLE CO,0.011111
18163,19850329,PG,PROCTER & GAMBLE CO,-0.024176
18163,19850430,PG,PROCTER & GAMBLE CO,-0.049099
18163,19850531,PG,PROCTER & GAMBLE CO,0.033573
18163,19850628,PG,PROCTER & GAMBLE CO,0.044084
18163,19850731,PG,PROCTER & GAMBLE CO,0.029333
18163,19850830,PG,PROCTER & GAMBLE CO,0.004367
18163,19850930,PG,PROCTER & GAMBLE CO,-0.019565
18163,19851031,PG,PROCTER & GAMBLE CO,0.135698
18163,19851129,PG,PROCTER & GAMBLE CO,0.059172
18163,19851231,PG,PROCTER & GAMBLE CO,0.039106
18163,19860131,PG,PROCTER & GAMBLE CO,-0.046237
18163,19860228,PG,PROCTER & GAMBLE CO,0.047438
18163,19860331,PG,PROCTER & GAMBLE CO,0.067029
18163,19860430,PG,PROCTER & GAMBLE CO,0.007470
18163,19860530,PG,PROCTER & GAMBLE CO,0.059524
18163,19860630,PG,PROCTER & GAMBLE CO,0.028892
18163,19860731,PG,PROCTER & GAMBLE CO,-0.025897
18163,19860829,PG,PROCTER & GAMBLE CO,0.033926
18163,19860930,PG,PROCTER & GAMBLE CO,-0.153125
18163,19861031,PG,PROCTER & GAMBLE CO,0.116974
18163,19861128,PG,PROCTER & GAMBLE CO,0.036667
18163,19861231,PG,PROCTER & GAMBLE CO,-0.017685
18163,19870130,PG,PROCTER & GAMBLE CO,0.161047
18163,19870227,PG,PROCTER & GAMBLE CO,-0.014205
18163,19870331,PG,PROCTER & GAMBLE CO,0.060519
18163,19870430,PG,PROCTER & GAMBLE CO,-0.071467
18163,19870529,PG,PROCTER & GAMBLE CO,0.079646
18163,19870630,PG,PROCTER & GAMBLE CO,0.071038
18163,19870731,PG,PROCTER & GAMBLE CO,-0.042857
18163,19870831,PG,PROCTER & GAMBLE CO,0.104698
